f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,target
12.3504,11.1348,12.2830,15.2634,2.1816,2.1481,0.5091,9.0213,12.4283,8.3838,13.1417
9.3637,12.2784,8.8222,2.0414,14.4623,3.5901,2.1357,13.4832,10.7378,15.1303,20.7985
13.2916,15.9057,16.4435,10.3739,5.7188,3.7080,5.6332,9.2375,10.4080,15.9636,11.3115
8.1896,11.4224,8.9549,14.1355,6.5579,2.7926,4.6686,8.8452,8.0353,15.0181,6.4268
9.3945,12.7940,6.9464,16.5530,4.2468,2.4466,5.4304,23.6392,8.3094,21.8089,19.0593
6.1363,10.0710,7.7790,4.3665,18.7201,3.3583,5.1659,18.7619,8.3011,21.0437,21.6130
8.6495,8.4884,17.7971,15.1870,5.1635,3.4770,3.3218,9.2048,10.0524,7.7786,16.8269
9.6401,14.9575,12.6291,1.8069,17.3240,3.1506,2.6054,8.1805,12.2800,9.0424,22.7443
13.0261,9.3656,21.7912,8.0632,12.0835,3.1934,5.4230,25.3212,6.9458,21.5764,29.1912
10.3933,9.7184,14.9593,9.6550,15.9184,2.5317,4.5066,9.8857,10.3032,9.6656,19.7208
11.4235,11.7758,16.4746,5.4446,15.9118,0.4739,4.5436,14.0582,5.1426,19.9990,12.4169
27.7246,8.5374,19.1205,2.5722,16.8985,3.0724,5.0820,9.4871,13.7117,6.0681,25.6613
14.3884,12.9421,17.3231,16.9615,6.8585,0.8694,3.8353,6.9630,13.2715,8.3154,12.5421
25.1864,6.8693,20.8243,5.9558,18.2822,2.8975,3.1126,12.7736,5.0190,19.7316,11.0962
6.0771,11.1704,6.0510,15.7957,9.8913,3.8887,4.4713,8.5723,12.6465,8.9720,15.8276
8.5875,10.7918,7.2162,6.7878,12.0783,0.3314,4.9151,10.9506,12.8600,14.6518,13.1347
15.2707,9.3695,21.7107,3.6227,15.5062,3.5079,1.2694,8.6023,12.0211,8.2084,23.1001
12.5769,9.6591,13.9431,13.3429,12.1186,2.6403,5.2036,8.3754,13.7771,9.0167,17.0813
29.6776,7.8560,19.1313,1.2354,14.2953,3.0142,5.3767,6.3287,11.3129,8.3781,16.3741
25.1310,8.0200,20.9451,15.7796,7.0783,1.3692,3.2183,7.6312,13.1518,9.4957,10.8873
7.6487,10.2638,9.2663,1.1091,16.2768,3.6697,0.8330,9.9562,13.7681,6.1794,27.2557
29.9321,6.2359,19.9700,12.2031,5.5617,1.9907,5.0142,9.5473,14.0919,14.2821,8.7392
6.7957,13.9948,7.0199,15.1950,10.5228,0.9822,4.8797,8.4608,12.0224,8.3444,14.8399
8.1780,13.1109,16.4066,7.2349,13.2742,2.8288,1.3772,11.0052,14.0959,16.7119,16.7414
9.9482,8.3459,14.8167,9.3702,12.9577,3.5925,0.8176,13.1446,11.7241,12.8801,20.8313
8.6665,11.7111,14.5503,16.4370,3.8690,2.3356,4.7016,30.6134,8.3433,19.9311,32.9082
28.1838,9.2817,21.6416,14.4762,4.2542,3.5394,3.6364,11.0919,15.6539,15.2045,12.4644
19.0529,4.8529,20.0059,2.0914,16.7704,3.4755,2.6161,11.1020,11.4524,12.6162,20.4151
17.0992,8.4722,21.4028,13.6740,6.5456,2.9615,1.5190,6.1663,12.4302,8.6715,12.3224
13.9494,14.2048,16.2652,7.9786,14.7652,2.2720,3.0728,6.7933,10.9967,6.5442,19.6388
15.6813,9.4908,13.7388,10.1107,11.5145,2.9796,5.2445,21.6748,9.7327,21.2919,21.9503
6.9376,12.6072,8.6771,10.4881,9.8978,3.7502,5.0197,7.1823,12.8885,9.3222,15.8997
8.9199,10.7037,8.1400,2.2498,14.5880,2.5679,5.1390,12.9650,7.3304,21.7352,10.1881
8.5104,12.2588,13.8120,6.0029,14.9082,1.6067,5.9590,9.0723,13.5038,7.8717,22.6842
6.5472,13.6830,8.7260,3.2619,15.1438,2.2615,2.8541,30.6171,5.6626,19.6198,38.4880
18.1128,8.8698,21.4873,11.9039,15.7419,3.6639,1.6679,14.9828,8.8156,20.7611,14.7755
7.3086,12.2466,8.1179,5.4098,15.9131,2.2074,5.1852,10.4726,9.7630,16.5634,13.1938
6.1644,13.3080,7.9826,16.0755,1.0740,2.6008,1.6373,6.9029,13.1397,8.0523,11.0849
12.9408,11.1134,12.2220,14.5445,12.9848,0.9373,4.0730,9.8724,10.7572,17.4684,6.8923
8.6804,13.7260,7.1898,6.4814,18.1991,3.9412,5.1640,8.6208,11.6296,16.3915,13.5371
10.8031,12.5331,17.6319,12.8709,10.3915,2.9666,3.3499,9.2255,11.7346,7.2762,20.9483
21.5562,6.2079,19.8150,10.0136,10.2258,2.2261,5.6377,9.8410,12.8738,7.6827,19.4573
26.8936,7.2236,19.5942,10.4452,11.2962,1.2166,3.8723,29.1679,6.9702,20.0850,30.3400
9.3997,12.1569,9.3273,10.7254,6.7660,3.1040,3.8733,6.6510,11.8617,8.4000,13.4547
